trial_index,trial_id,model,scenario_index,profile_id,baseline,prompt_order,repetition,raw_output,parsed_choice
0,google/gemma-3n-e4b-it|0||True|scenario_first|0,google/gemma-3n-e4b-it,0,,True,scenario_first,0,B,B
1,google/gemma-3n-e4b-it|0||True|options_first|0,google/gemma-3n-e4b-it,0,,True,options_first,0,B,B
2,google/gemma-3n-e4b-it|0||True|scenario_first|1,google/gemma-3n-e4b-it,0,,True,scenario_first,1,B,B
3,google/gemma-3n-e4b-it|0||True|options_first|1,google/gemma-3n-e4b-it,0,,True,options_first,1,B,B
4,google/gemma-3n-e4b-it|0||True|scenario_first|2,google/gemma-3n-e4b-it,0,,True,scenario_first,2,B,B
5,google/gemma-3n-e4b-it|0||True|options_first|2,google/gemma-3n-e4b-it,0,,True,options_first,2,B,B
6,google/gemma-3n-e4b-it|1||True|scenario_first|0,google/gemma-3n-e4b-it,1,,True,scenario_first,0,B,B
7,google/gemma-3n-e4b-it|1||True|options_first|0,google/gemma-3n-e4b-it,1,,True,options_first,0,C,C
8,google/gemma-3n-e4b-it|1||True|scenario_first|1,google/gemma-3n-e4b-it,1,,True,scenario_first,1,B,B
9,google/gemma-3n-e4b-it|1||True|options_first|1,google/gemma-3n-e4b-it,1,,True,options_first,1,C,C
10,google/gemma-3n-e4b-it|1||True|scenario_first|2,google/gemma-3n-e4b-it,1,,True,scenario_first,2,B,B
11,google/gemma-3n-e4b-it|1||True|options_first|2,google/gemma-3n-e4b-it,1,,True,options_first,2,C,C
12,google/gemma-3n-e4b-it|2||True|scenario_first|0,google/gemma-3n-e4b-it,2,,True,scenario_first,0,B,B
13,google/gemma-3n-e4b-it|2||True|options_first|0,google/gemma-3n-e4b-it,2,,True,options_first,0,B,B
14,google/gemma-3n-e4b-it|2||True|scenario_first|1,google/gemma-3n-e4b-it,2,,True,scenario_first,1,B,B
15,google/gemma-3n-e4b-it|2||True|options_first|1,google/gemma-3n-e4b-it,2,,True,options_first,1,B,B
16,google/gemma-3n-e4b-it|2||True|scenario_first|2,google/gemma-3n-e4b-it,2,,True,scenario_first,2,B,B
17,google/gemma-3n-e4b-it|2||True|options_first|2,google/gemma-3n-e4b-it,2,,True,options_first,2,B,B
18,google/gemma-3n-e4b-it|3||True|scenario_first|0,google/gemma-3n-e4b-it,3,,True,scenario_first,0,C,C
19,google/gemma-3n-e4b-it|3||True|options_first|0,google/gemma-3n-e4b-it,3,,True,options_first,0,B,B
20,google/gemma-3n-e4b-it|3||True|scenario_first|1,google/gemma-3n-e4b-it,3,,True,scenario_first,1,C,C
21,google/gemma-3n-e4b-it|3||True|options_first|1,google/gemma-3n-e4b-it,3,,True,options_first,1,B,B
22,google/gemma-3n-e4b-it|3||True|scenario_first|2,google/gemma-3n-e4b-it,3,,True,scenario_first,2,C,C
23,google/gemma-3n-e4b-it|3||True|options_first|2,google/gemma-3n-e4b-it,3,,True,options_first,2,B,B
24,google/gemma-3n-e4b-it|4||True|scenario_first|0,google/gemma-3n-e4b-it,4,,True,scenario_first,0,B,B
25,google/gemma-3n-e4b-it|4||True|options_first|0,google/gemma-3n-e4b-it,4,,True,options_first,0,B,B
26,google/gemma-3n-e4b-it|4||True|scenario_first|1,google/gemma-3n-e4b-it,4,,True,scenario_first,1,B,B
27,google/gemma-3n-e4b-it|4||True|options_first|1,google/gemma-3n-e4b-it,4,,True,options_first,1,B,B
28,google/gemma-3n-e4b-it|4||True|scenario_first|2,google/gemma-3n-e4b-it,4,,True,scenario_first,2,B,B
29,google/gemma-3n-e4b-it|4||True|options_first|2,google/gemma-3n-e4b-it,4,,True,options_first,2,B,B
30,google/gemma-3n-e4b-it|5||True|scenario_first|0,google/gemma-3n-e4b-it,5,,True,scenario_first,0,E,E
31,google/gemma-3n-e4b-it|5||True|options_first|0,google/gemma-3n-e4b-it,5,,True,options_first,0,D,D
32,google/gemma-3n-e4b-it|5||True|scenario_first|1,google/gemma-3n-e4b-it,5,,True,scenario_first,1,E,E
33,google/gemma-3n-e4b-it|5||True|options_first|1,google/gemma-3n-e4b-it,5,,True,options_first,1,D,D
34,google/gemma-3n-e4b-it|5||True|scenario_first|2,google/gemma-3n-e4b-it,5,,True,scenario_first,2,E,E
35,google/gemma-3n-e4b-it|5||True|options_first|2,google/gemma-3n-e4b-it,5,,True,options_first,2,D,D
36,google/gemma-3n-e4b-it|6||True|scenario_first|0,google/gemma-3n-e4b-it,6,,True,scenario_first,0,C,C
37,google/gemma-3n-e4b-it|6||True|options_first|0,google/gemma-3n-e4b-it,6,,True,options_first,0,B,B
38,google/gemma-3n-e4b-it|6||True|scenario_first|1,google/gemma-3n-e4b-it,6,,True,scenario_first,1,C,C
39,google/gemma-3n-e4b-it|6||True|options_first|1,google/gemma-3n-e4b-it,6,,True,options_first,1,B,B
40,google/gemma-3n-e4b-it|6||True|scenario_first|2,google/gemma-3n-e4b-it,6,,True,scenario_first,2,C,C
41,google/gemma-3n-e4b-it|6||True|options_first|2,google/gemma-3n-e4b-it,6,,True,options_first,2,C,C
42,google/gemma-3n-e4b-it|7||True|scenario_first|0,google/gemma-3n-e4b-it,7,,True,scenario_first,0,D,D
43,google/gemma-3n-e4b-it|7||True|options_first|0,google/gemma-3n-e4b-it,7,,True,options_first,0,B,B
